class,sequence_id,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42
clap,1,-563.99365234375,115.41337585449219,31.714527130126953,33.898494720458984,18.21479034423828,24.329925537109375,11.076860427856445,5.907055854797363,-3.348325490951538,6.783361434936523,0.5273306965827942,6.69941520690918,-1.0561474561691284,-6.626575946807861,3.044064521789551,2.295997381210327,-0.9897842407226562,0.46640336513519287,0.04297832027077675,0.3976694941520691,-0.3995380699634552,-0.17065857350826263,-0.3152976334095001,0.04913417249917984,0.8093375563621521,0.12561000883579254,-6.067990303039551,2.395524740219116,1.8014851808547974,-0.48474884033203125,0.6366691589355469,-0.7764183282852173,-0.2541138827800751,-0.43337056040763855,-0.24563340842723846,0.10034669190645218,0.40082085132598877,-0.10420067608356476,-0.11141448467969894,1420.954307580031,2428.8474343039775,0.04991566051136364,0.002880987711250782
clap,1,-593.90234375,127.77072143554688,39.29410934448242,29.5086612701416,18.17148208618164,24.815460205078125,13.96561336517334,4.003117561340332,-4.380496025085449,6.0880584716796875,0.8543670177459717,8.891989707946777,-1.8502507209777832,-10.352352142333984,3.727675676345825,3.433626413345337,-0.7424556612968445,0.8914657831192017,-0.75362628698349,0.8623605370521545,-0.6269660592079163,-0.21950627863407135,-0.1854257434606552,-0.12995219230651855,0.6648508906364441,-0.10555475205183029,3.0200002193450928,-1.4590510129928589,-1.228789210319519,0.19423618912696838,-0.8281134963035583,0.09177999198436737,0.22305679321289062,0.2086179107427597,-0.10989309102296829,-0.33652904629707336,-0.12433435767889023,0.20338080823421478,0.08855906128883362,1173.429587065866,1805.3633256392045,0.028786399147727272,0.002551950979977846
clap,1,-448.7290954589844,89.87051391601562,28.324419021606445,27.126123428344727,17.397663116455078,13.364852905273438,10.614724159240723,4.503077983856201,-5.496252059936523,0.9823423027992249,3.7921011447906494,4.802530288696289,0.0874827578663826,35.84090805053711,-1.9009373188018799,-8.801509857177734,-1.3629543781280518,-1.30752694606781,-1.6857396364212036,-0.6739186644554138,0.03152509778738022,-1.565872311592102,-0.21411539614200592,-0.1484956592321396,-0.02516605705022812,-1.0051954984664917,2.402722120285034,0.3557611107826233,-1.6703869104385376,-0.06678271293640137,0.2001645416021347,-0.253374844789505,-0.2620391845703125,0.05937474966049194,-0.008693808689713478,0.30370673537254333,0.13741984963417053,-0.18481630086898804,-0.03258712589740753,1321.367407808965,1868.00537109375,0.046098188920454544,0.0596979595720768
clap,1,-365.1659851074219,89.97633361816406,-9.120440483093262,20.808490753173828,11.314269065856934,6.944979667663574,6.941851615905762,6.150619983673096,-8.131693840026855,1.5981923341751099,3.0206046104431152,3.2624833583831787,-2.897535562515259,16.988401412963867,-0.41200143098831177,-8.83969783782959,-0.8861573934555054,-0.801466166973114,-1.6715315580368042,-0.9709682464599609,0.38810718059539795,-0.7909858822822571,0.1243784949183464,-0.27109381556510925,-0.5446037650108337,-0.24793577194213867,-3.271594762802124,-0.3813948929309845,0.5173459053039551,-0.03820788487792015,-0.41797611117362976,-0.2330557256937027,0.004524220246821642,0.0717000737786293,0.29920274019241333,-0.09315574169158936,-0.07377760857343674,-0.07162780314683914,-0.03326597809791565,1638.9296243867486,2376.971990411932,0.08138760653409091,0.07616990059614182
clap,1,-236.76429748535156,79.88532257080078,-35.01355743408203,17.86195182800293,7.6921916007995605,-0.014007914811372757,3.440762996673584,5.177461624145508,-13.989447593688965,1.407827377319336,2.2977511882781982,2.496406316757202,-6.551112651824951,32.743629455566406,-2.1276943683624268,-7.573428153991699,-0.9795780777931213,-1.094247817993164,-1.4849697351455688,-0.607464075088501,-0.024533985182642937,-1.2832180261611938,-0.2761906385421753,-0.3055061101913452,-0.27553674578666687,-1.2702319622039795,5.067741394042969,0.4007869064807892,-1.965463638305664,-0.2461702674627304,-0.014321836642920971,-0.3505578339099884,-0.2986753582954407,0.03199802711606026,-0.09490244835615158,0.1925962120294571,0.13659638166427612,0.05006648227572441,0.06434863060712814,2016.1859374317094,2976.4759410511365,0.11394708806818182,0.13441482186317444
clap,1,-158.4127197265625,75.09819793701172,-68.97087860107422,13.905722618103027,3.575510263442993,-5.465235233306885,0.8475487232208252,6.411270618438721,-18.353116989135742,1.6312981843948364,1.5572062730789185,0.38587427139282227,-10.11002254486084,20.493165969848633,0.24553194642066956,-10.875925064086914,-1.121968388557434,-1.06966233253479,-2.092728614807129,-1.3200562000274658,0.259647011756897,-1.1952705383300781,0.3382013142108917,-0.04573103412985802,-0.4639343321323395,-0.2212008833885193,-11.523736953735352,0.3465578854084015,1.2398451566696167,0.29752418398857117,0.18053553998470306,0.29771268367767334,0.24310742318630219,0.16110113263130188,0.4559490382671356,0.04294881969690323,0.059265200048685074,-0.06463045626878738,0.2814449667930603,2268.245196372637,3300.9421608664775,0.15172230113636365,0.14582745730876923
clap,1,-100.6015853881836,75.3622055053711,-104.93490600585938,9.903482437133789,-1.0017117261886597,-11.001626014709473,-2.051471471786499,7.704102993011475,-20.61398696899414,2.197648763656616,2.1694815158843994,-0.5394071340560913,-10.838581085205078,-17.924203872680664,1.4385793209075928,-2.9300222396850586,-0.0723026692867279,-0.09866228699684143,0.30731216073036194,0.4637744128704071,0.7578650116920471,0.9644250273704529,0.09174864739179611,0.2622543275356293,-0.13595706224441528,0.5807284712791443,1.4723769426345825,-0.3021267354488373,1.6100726127624512,-0.13413530588150024,-0.02448830008506775,0.22368477284908295,0.4409928619861603,-0.02438262291252613,0.46298179030418396,-0.24967652559280396,-0.07172603160142899,0.12850461900234222,-0.14895272254943848,2524.74814392637,3671.9005237926135,0.1849698153409091,0.1463639885187149
clap,1,-158.97686767578125,82.01049041748047,-115.6854019165039,9.925559997558594,-1.5251686573028564,-10.424351692199707,0.6245233416557312,11.588113784790039,-16.94590950012207,3.814018964767456,3.4687180519104004,-1.0014597177505493,-7.222804546356201,-5.417465686798096,1.1073377132415771,-1.07521390914917,0.2892148196697235,0.39647749066352844,0.1472073495388031,0.7605836391448975,0.8126224279403687,1.0043607950210571,0.34790942072868347,0.2184128761291504,0.05936986580491066,0.5545003414154053,-0.6904893517494202,0.11029230803251266,-0.5336065292358398,-0.22304844856262207,-0.15640845894813538,-0.467367947101593,-0.44333699345588684,-0.09900990128517151,-0.6766111850738525,-0.09798657149076462,-0.07340491563081741,-0.08646856993436813,0.25632619857788086,2412.245856935752,3410.076349431818,0.18505859375,0.09293020516633987
clap,1,-185.8788299560547,84.8752670288086,-121.57861328125,10.85802173614502,-1.6455518007278442,-9.176185607910156,1.3768248558044434,12.821727752685547,-15.280254364013672,4.144580364227295,4.4439167976379395,-0.3009912371635437,-6.144432544708252,-16.2011661529541,1.3009099960327148,-3.18735408782959,-0.13752973079681396,-0.3119596242904663,0.09003826230764389,0.06562109291553497,0.6404736042022705,0.3856563866138458,0.06106220558285713,0.07902484387159348,-0.15200363099575043,0.5236784219741821,-0.8625369668006897,0.01349876169115305,0.5062574744224548,0.07509263604879379,0.013828667812049389,0.2232571244239807,0.5110397934913635,-0.006877523846924305,0.6335723400115967,-0.09612278640270233,0.1411278396844864,0.09470910578966141,-0.07218411564826965,2379.1636641401506,3367.499334161932,0.18801047585227273,0.08086956292390823
clap,1,-260.91668701171875,95.53323364257812,-133.28758239746094,12.662335395812988,1.3497238159179688,-7.143994331359863,4.6750807762146,17.535106658935547,-11.65322208404541,8.768637657165527,5.272388458251953,1.0377479791641235,-4.195119857788086,-12.146717071533203,2.4087963104248047,-1.1367011070251465,0.6577908396720886,1.6979275941848755,0.49551668763160706,1.6757415533065796,0.9816038012504578,1.7548778057098389,1.0734772682189941,0.39351320266723633,0.4772148132324219,0.71464604139328,0.2633635401725769,0.4303264915943146,0.39998844265937805,-0.08885829895734787,0.6432075500488281,-0.4364891052246094,0.2878682315349579,-0.25358864665031433,-0.07561319321393967,0.10509698837995529,-0.0008759674965403974,-0.14248909056186676,-0.14067095518112183,2260.685170663139,3118.8887162642045,0.18670099431818182,0.027452843263745308
